"date","station","dchl","cchl","ddo","do","dspm","cspm","ext","sal","tem","no2","no32","nh","po4","dSi","chl_merge","spm_merge","do_merge","ext_calc_linear","ext_calc_log","ext_merge"
1969-04-11,"18",NA,NA,NA,NA,7,NA,NA,11,14.2,0.7,NA,NA,1.3,110,NA,7,NA,1.1116,0.880149324290776,0.880149324290776
1969-04-11,"21",NA,NA,NA,NA,NA,NA,NA,12.4,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,"22",NA,NA,NA,NA,NA,NA,NA,18.5,14.55,0.7,NA,NA,1.3,120,NA,NA,NA,NA,NA,NA
1969-04-11,"24",NA,NA,NA,NA,NA,NA,NA,18.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,"30",NA,NA,NA,NA,NA,NA,NA,17.65,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,"34",NA,NA,NA,NA,NA,NA,NA,15.5,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-04-11,"36",NA,NA,NA,NA,NA,NA,NA,14.5,15.3,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA
1969-05-22,"18",NA,NA,NA,NA,7,NA,NA,19.7333333333333,14.5666666666667,1.1,NA,NA,3.2,110,NA,7,NA,1.1116,0.880149324290776,0.880149324290776
1969-05-22,"21",NA,NA,NA,NA,NA,NA,NA,18.0666666666667,15.0333333333333,1.1,NA,NA,3.2,120,NA,NA,NA,NA,NA,NA
1969-05-22,"22",NA,NA,NA,NA,NA,NA,NA,14.7,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-05-22,"24",NA,NA,NA,NA,NA,NA,NA,18.2666666666667,16.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-05-22,"27",NA,NA,NA,NA,NA,NA,NA,19.9,17.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-05-22,"30",NA,NA,NA,NA,NA,NA,NA,19.5333333333333,18.3666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-05-22,"32",NA,NA,NA,NA,39,NA,NA,19.3666666666667,18.8666666666667,4.6,NA,NA,9.7,45,NA,39,NA,2.2892,2.52251562756643,2.52251562756643
1969-05-22,"34",NA,NA,NA,NA,88,NA,NA,19,18.9666666666667,6.4,NA,NA,13,38,NA,88,NA,4.0924,4.1541209713896,4.1541209713896
1969-05-22,"36",NA,NA,NA,NA,115,NA,NA,18.2,19.0333333333333,14,NA,NA,22,35,NA,115,NA,5.086,4.89462064300934,4.89462064300934
1969-06-19,"21",NA,NA,NA,NA,7,NA,NA,16.25,16.35,0.7,NA,NA,2.2,80,NA,7,NA,1.1116,0.880149324290776,0.880149324290776
1969-06-19,"22",NA,NA,NA,NA,NA,NA,NA,17.9,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-06-19,"24",NA,NA,NA,NA,5,NA,NA,20.1,16.75,0.7,NA,NA,2.9,56,NA,5,NA,1.038,0.716110223624623,0.716110223624623
1969-06-19,"30",NA,NA,NA,NA,NA,NA,NA,19.65,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-06-19,"32",NA,NA,NA,NA,9,NA,NA,19.35,20.55,4.3,NA,NA,12.9,73,NA,9,NA,1.1852,1.02674339952874,1.02674339952874
1969-06-19,"36",NA,NA,NA,NA,16,NA,NA,18.6,21,25,NA,NA,29,120,NA,16,NA,1.4428,1.46095490456786,1.46095490456786
1969-07-24,"21",NA,NA,NA,NA,NA,NA,NA,26,16.9333333333333,0.5,NA,NA,3.2,38,NA,NA,NA,NA,NA,NA
1969-07-24,"22",NA,NA,NA,NA,NA,NA,NA,25.3,17.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-07-24,"24",NA,NA,NA,NA,NA,NA,NA,24.8333333333333,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-07-24,"30",NA,NA,NA,NA,NA,NA,NA,21.9333333333333,22.9333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-07-24,"32",NA,NA,NA,NA,NA,NA,NA,21.6,23.2333333333333,3,NA,NA,17,120,NA,NA,NA,NA,NA,NA
1969-07-24,"34",NA,NA,NA,NA,NA,NA,NA,21.4,23.2,4,NA,NA,19,111,NA,NA,NA,NA,NA,NA
1969-07-24,"36",NA,NA,NA,NA,NA,NA,NA,20.5666666666667,23.5333333333333,7,NA,NA,27,135,NA,NA,NA,NA,NA,NA
